권역코드,권역명,공시월,금융회사 코드,금융회사,금융상품 코드,상품명,저축기간(개월),금리유형 코드,금리유형명,세전 이자율,세후 이자율,세후 이자(예시),최고 우대금리,가입방법,가입제한 코드,가입 대상,이자계산방식,금융상품 문의,우대조건,만기 후 이자율,기타 유의사항,최고한도,공시 시작일,공시 종료일,금융회사 제출일,데이터 출처,수집일시
020000,은행,202607,0010017,부산은행,01030500510002,LIVE정기예금,12,S,단리,2.25%,1.90%,"190,000",2.80%,"영업점,인터넷",1,제한없음,단리,,*우대이율 가. 3~5개월 특판우대이율 : 0.60% 나. 6~11개월 특판 우대이율: 0.60% 다. 12개월 특판 우대이율 : 0.55%,"- 만기후1년내: 가입기간별 일반정기예금이율 월이자지급식 x 50%, - 만기후1년초과:가입기간별 일반정기예금이율 월이자지급식 x 20%",1. 가입금액 : 1천만원 이상 2. 가입기간 : 1개월 이상 60개월 이하(일단위) 3. 월이자지급식/만기일시지급식,,20260801,,202608041614,금융감독원 금융상품한눈에 Open API,2026-08-10T14:19:08
020000,은행,202607,0010017,부산은행,01030500510002,LIVE정기예금,24,S,단리,1.90%,1.61%,"321,000",1.90%,"영업점,인터넷",1,제한없음,단리,,*우대이율 가. 3~5개월 특판우대이율 : 0.60% 나. 6~11개월 특판 우대이율: 0.60% 다. 12개월 특판 우대이율 : 0.55%,"- 만기후1년내: 가입기간별 일반정기예금이율 월이자지급식 x 50%, - 만기후1년초과:가입기간별 일반정기예금이율 월이자지급식 x 20%",1. 가입금액 : 1천만원 이상 2. 가입기간 : 1개월 이상 60개월 이하(일단위) 3. 월이자지급식/만기일시지급식,,20260801,,202608041614,금융감독원 금융상품한눈에 Open API,2026-08-10T14:19:08
020000,은행,202607,0010017,부산은행,01030500510002,LIVE정기예금,36,S,단리,1.90%,1.61%,"482,000",1.90%,"영업점,인터넷",1,제한없음,단리,,*우대이율 가. 3~5개월 특판우대이율 : 0.60% 나. 6~11개월 특판 우대이율: 0.60% 다. 12개월 특판 우대이율 : 0.55%,"- 만기후1년내: 가입기간별 일반정기예금이율 월이자지급식 x 50%, - 만기후1년초과:가입기간별 일반정기예금이율 월이자지급식 x 20%",1. 가입금액 : 1천만원 이상 2. 가입기간 : 1개월 이상 60개월 이하(일단위) 3. 월이자지급식/만기일시지급식,,20260801,,202608041614,금융감독원 금융상품한눈에 Open API,2026-08-10T14:19:08
020000,은행,202607,0010017,부산은행,01030500560002,더(The) 특판 정기예금,1,S,단리,1.40%,1.18%,"10,000",2.75%,"인터넷,스마트폰",1,제한없음 (실명의 개인),단리,,* 우대이율 (최대 1.35%p) 가. 모바일뱅킹 금융정보 및 혜택알림 동의 우대이율 : 0.10%p 나. 신규고객 또는 정기예금 중도해지고객 우대이율 0.75%p 다. 특판우대이율 : 0.50%p(24개월 0.85%p),"- 만기후1년내: 가입기간별 일반정기예금이율 월이자지급식x 50%, - 만기후1년초과:가입기간별 일반정기예금이율 월이자지급식 x 20%","1. 가입금액 : 1백만원 이상 제한없음 (원단위) 2. 가입기간 : 1개월, 3개월, 6개월, 1년, 2년, 3년 3. 이자지급방식 : 만기일시지급식",,20260720,,202607201543,금융감독원 금융상품한눈에 Open API,2026-08-10T14:19:08
020000,은행,202607,0010017,부산은행,01030500560002,더(The) 특판 정기예금,3,S,단리,1.65%,1.40%,"35,000",3.00%,"인터넷,스마트폰",1,제한없음 (실명의 개인),단리,,* 우대이율 (최대 1.35%p) 가. 모바일뱅킹 금융정보 및 혜택알림 동의 우대이율 : 0.10%p 나. 신규고객 또는 정기예금 중도해지고객 우대이율 0.75%p 다. 특판우대이율 : 0.50%p(24개월 0.85%p),"- 만기후1년내: 가입기간별 일반정기예금이율 월이자지급식x 50%, - 만기후1년초과:가입기간별 일반정기예금이율 월이자지급식 x 20%","1. 가입금액 : 1백만원 이상 제한없음 (원단위) 2. 가입기간 : 1개월, 3개월, 6개월, 1년, 2년, 3년 3. 이자지급방식 : 만기일시지급식",,20260720,,202607201543,금융감독원 금융상품한눈에 Open API,2026-08-10T14:19:08
020000,은행,202607,0010017,부산은행,01030500560002,더(The) 특판 정기예금,6,S,단리,1.80%,1.52%,"76,000",3.15%,"인터넷,스마트폰",1,제한없음 (실명의 개인),단리,,* 우대이율 (최대 1.35%p) 가. 모바일뱅킹 금융정보 및 혜택알림 동의 우대이율 : 0.10%p 나. 신규고객 또는 정기예금 중도해지고객 우대이율 0.75%p 다. 특판우대이율 : 0.50%p(24개월 0.85%p),"- 만기후1년내: 가입기간별 일반정기예금이율 월이자지급식x 50%, - 만기후1년초과:가입기간별 일반정기예금이율 월이자지급식 x 20%","1. 가입금액 : 1백만원 이상 제한없음 (원단위) 2. 가입기간 : 1개월, 3개월, 6개월, 1년, 2년, 3년 3. 이자지급방식 : 만기일시지급식",,20260720,,202607201543,금융감독원 금융상품한눈에 Open API,2026-08-10T14:19:08
020000,은행,202607,0010017,부산은행,01030500560002,더(The) 특판 정기예금,12,S,단리,2.20%,1.86%,"186,000",3.55%,"인터넷,스마트폰",1,제한없음 (실명의 개인),단리,,* 우대이율 (최대 1.35%p) 가. 모바일뱅킹 금융정보 및 혜택알림 동의 우대이율 : 0.10%p 나. 신규고객 또는 정기예금 중도해지고객 우대이율 0.75%p 다. 특판우대이율 : 0.50%p(24개월 0.85%p),"- 만기후1년내: 가입기간별 일반정기예금이율 월이자지급식x 50%, - 만기후1년초과:가입기간별 일반정기예금이율 월이자지급식 x 20%","1. 가입금액 : 1백만원 이상 제한없음 (원단위) 2. 가입기간 : 1개월, 3개월, 6개월, 1년, 2년, 3년 3. 이자지급방식 : 만기일시지급식",,20260720,,202607201543,금융감독원 금융상품한눈에 Open API,2026-08-10T14:19:08
020000,은행,202607,0010017,부산은행,01030500560002,더(The) 특판 정기예금,24,S,단리,1.85%,1.57%,"313,000",3.55%,"인터넷,스마트폰",1,제한없음 (실명의 개인),단리,,* 우대이율 (최대 1.35%p) 가. 모바일뱅킹 금융정보 및 혜택알림 동의 우대이율 : 0.10%p 나. 신규고객 또는 정기예금 중도해지고객 우대이율 0.75%p 다. 특판우대이율 : 0.50%p(24개월 0.85%p),"- 만기후1년내: 가입기간별 일반정기예금이율 월이자지급식x 50%, - 만기후1년초과:가입기간별 일반정기예금이율 월이자지급식 x 20%","1. 가입금액 : 1백만원 이상 제한없음 (원단위) 2. 가입기간 : 1개월, 3개월, 6개월, 1년, 2년, 3년 3. 이자지급방식 : 만기일시지급식",,20260720,,202607201543,금융감독원 금융상품한눈에 Open API,2026-08-10T14:19:08
020000,은행,202607,0010017,부산은행,01030500560002,더(The) 특판 정기예금,36,S,단리,1.25%,1.06%,"317,000",2.60%,"인터넷,스마트폰",1,제한없음 (실명의 개인),단리,,* 우대이율 (최대 1.35%p) 가. 모바일뱅킹 금융정보 및 혜택알림 동의 우대이율 : 0.10%p 나. 신규고객 또는 정기예금 중도해지고객 우대이율 0.75%p 다. 특판우대이율 : 0.50%p(24개월 0.85%p),"- 만기후1년내: 가입기간별 일반정기예금이율 월이자지급식x 50%, - 만기후1년초과:가입기간별 일반정기예금이율 월이자지급식 x 20%","1. 가입금액 : 1백만원 이상 제한없음 (원단위) 2. 가입기간 : 1개월, 3개월, 6개월, 1년, 2년, 3년 3. 이자지급방식 : 만기일시지급식",,20260720,,202607201543,금융감독원 금융상품한눈에 Open API,2026-08-10T14:19:08
020000,은행,202607,0010017,부산은행,01030500600002,더(The) 레벨업 정기예금,6,S,단리,2.50%,2.11%,"106,000",3.40%,스마트폰,1,제한없음 (실명의 개인),단리,,*우대이율(최대 0.90%p) 가. 모바일뱅킹 금융정보 및 혜택알림 동의 우대이율 : 0.10%p 나. 비대면 정기예금 재예치 우대이율 : 0.80%,"- 만기후1년내: 가입기간별 일반정기예금이율 월이자지급식 x 50%, - 만기후1년초과:가입기간별 일반정기예금이율월 이자지급식 x 20%","1. 가입금액 : 1백만원 이상 제한없음 (원단위) 2. 가입기간 : 6개월, 1년 3. 이자지급방식 : 만기일시지급식",,20260720,,202607201543,금융감독원 금융상품한눈에 Open API,2026-08-10T14:19:08
