normalized_term,selected_source,removed_source,selected_term,removed_term
상계관세,한국은행,재정경제부,상계관세,상계관세
상대적빈곤율,한국은행,재정경제부,상대적 빈곤율,상대적 빈곤율
생산자물가지수ppi,한국은행,재정경제부,생산자물가지수(PPI),생산자물가지수(PPI)
서킷브레이커,한국은행,재정경제부,서킷브레이커,서킷브레이커
선물거래,한국은행,재정경제부,선물거래,선물거래
세계무역기구wto,한국은행,재정경제부,세계무역기구(WTO),세계무역기구(WTO)
세계은행worldbank,한국은행,재정경제부,세계은행(World Bank),세계은행(World Bank)
소비의비가역성,한국은행,재정경제부,소비의 비가역성,소비의 비가역성
소비자심리지수,한국은행,재정경제부,소비자심리지수,소비자심리지수
속물효과스놉효과,한국은행,재정경제부,속물효과(스놉효과),속물효과(스놉효과)
수익률곡선,한국은행,재정경제부,수익률곡선,수익률곡선
수출입물가지수,한국은행,재정경제부,수출입물가지수,수출입물가지수
수쿠크,한국은행,재정경제부,수쿠크,수쿠크
스무딩오퍼레이션,한국은행,재정경제부,스무딩오퍼레이션,스무딩 오퍼레이션
스태그플레이션,한국은행,재정경제부,스태그플레이션,스태그플레이션
시장평균환율제도,한국은행,재정경제부,시장평균환율제도,시장 평균 환율 제도
신용창조,한국은행,재정경제부,신용창조,신용 창조
신용스프레드,한국은행,재정경제부,신용스프레드,신용스프레드
신재생에너지,한국은행,재정경제부,신·재생에너지,신재생에너지
실망실업자,한국은행,재정경제부,실망실업자,실망실업자
실업급여,재정경제부,재정경제부,실업 급여,실업급여
실업률,한국은행,재정경제부,실업률,실업률
실질임금,한국은행,재정경제부,실질임금,실질임금
아시아개발은행adb,한국은행,재정경제부,아시아개발은행(ADB),아시아개발은행(ADB)
엔젤투자angelinvestment,재정경제부,재정경제부,엔젤 투자(Angel investment),엔젤투자(angel investment)
여신전문금융회사,한국은행,재정경제부,여신전문금융회사,여신전문금융회사
역외펀드,한국은행,재정경제부,역외펀드,역외펀드
역전세,한국은행,재정경제부,역전세,역전세
예금보험제도,한국은행,재정경제부,예금보험제도,예금보험제도
예대율,한국은행,재정경제부,예대율,예대율
와타나베부인,한국은행,재정경제부,와타나베 부인,와타나베 부인
워크아웃,한국은행,재정경제부,워크아웃,워크아웃
원금이자분리채권strips,한국은행,재정경제부,원금이자분리채권(STRIPS),원금·이자분리채권(STRIPS)
유동성,한국은행,재정경제부,유동성,유동성
유럽부흥개발은행ebrd,한국은행,재정경제부,유럽부흥개발은행(EBRD),유럽부흥개발은행(EBRD)
이슬람금융,한국은행,재정경제부,이슬람금융,이슬람 금융
이표채,한국은행,재정경제부,이표채,이표채
익스포저,한국은행,재정경제부,익스포저,익스포저
일물일가의법칙,한국은행,재정경제부,일물일가의 법칙,일물일가의 법칙
자기자본비율,한국은행,재정경제부,자기자본비율,자기자본비율
자동안정화장치,한국은행,재정경제부,자동안정화장치,자동 안정화 장치
자연실업률,한국은행,재정경제부,자연실업률,자연 실업률
장외시장,한국은행,재정경제부,장외시장,장외시장
재정수지,한국은행,재정경제부,재정수지,재정수지
전자단기사채,한국은행,재정경제부,전자단기사채,전자단기사채
전자상거래,한국은행,재정경제부,전자상거래,전자상거래
전자어음,한국은행,재정경제부,전자어음,전자어음
전자화폐,한국은행,재정경제부,전자화폐,전자화폐
정보의비대칭성,한국은행,재정경제부,정보의 비대칭성,정보의 비대칭성
정부실패,한국은행,재정경제부,정부실패,정부실패
정크본드,한국은행,재정경제부,정크본드,정크본드
조세부담률,한국은행,재정경제부,조세부담률,조세부담률
주가지수선물거래,한국은행,재정경제부,주가지수선물거래,주가지수선물거래
중앙은행,한국은행,재정경제부,중앙은행,중앙은행
증거금,한국은행,재정경제부,증거금,증거금
지니계수,한국은행,재정경제부,지니계수,지니계수
채권시장안정펀드,한국은행,재정경제부,채권시장안정펀드,채권시장안정펀드
추가경정예산,한국은행,재정경제부,추가경정예산,추가경정예산
추심,한국은행,재정경제부,추심,추심
치킨게임,한국은행,재정경제부,치킨게임,치킨 게임
캐즘chasm,한국은행,재정경제부,캐즘(Chasm),캐즘(Chasm)
콜시장,한국은행,재정경제부,콜시장,콜시장
탄소배출권,한국은행,재정경제부,탄소배출권,탄소배출권
통상임금,한국은행,재정경제부,통상임금,통상임금
통화스왑,한국은행,재정경제부,통화스왑,통화스왑
통화승수,한국은행,재정경제부,통화승수,통화승수
통화유통속도,한국은행,재정경제부,통화유통속도,통화유통속도
통화정책,한국은행,재정경제부,통화정책,통화정책
투자은행,한국은행,재정경제부,투자은행,투자은행
프로젝트파이낸싱,한국은행,재정경제부,프로젝트 파이낸싱,프로젝트 파이낸싱
피셔효과,한국은행,재정경제부,피셔효과,피셔 효과
필립스곡선,한국은행,재정경제부,필립스곡선,필립스곡선
한계소비성향,한국은행,재정경제부,한계소비성향,한계 소비 성향
환리스크,한국은행,재정경제부,환리스크,환리스크
환어음,한국은행,재정경제부,환어음,환어음
회사채,한국은행,재정경제부,회사채,회사채
